City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
185,Araouane,ML,2021-03-27 22:56:48,18.9048,-3.5265,76.05,7,0,11.61,clear sky
186,Sola,VU,2021-03-27 22:56:48,-13.8833,167.55,82.87,74,30,15.17,scattered clouds
187,Roald,NO,2021-03-27 22:56:49,62.5833,6.1333,37.4,87,90,4.61,overcast clouds
188,Gubkinskiy,RU,2021-03-27 22:52:38,64.434,76.5026,-4.83,97,11,10.58,few clouds
189,Bethel,US,2021-03-27 22:56:49,41.3712,-73.414,62.6,42,1,3.44,clear sky
190,Oktyabrskiy,RU,2021-03-27 22:56:49,54.4815,53.471,28.96,93,100,9.8,overcast clouds
191,Kade,DE,2021-03-27 22:56:50,52.3833,12.2667,37.0,81,20,1.99,few clouds
192,Mount Gambier,AU,2021-03-27 22:53:24,-37.8333,140.7667,51.8,100,40,8.05,scattered clouds
193,Carballo,ES,2021-03-27 22:56:50,43.213,-8.691,53.01,87,0,3.44,clear sky
194,Mumbwa,ZM,2021-03-27 22:56:51,-14.9783,27.0619,62.02,91,100,3.91,overcast clouds
195,Yellowknife,CA,2021-03-27 22:56:51,62.456,-114.3525,27.0,50,20,14.97,few clouds
196,Solnechnyy,RU,2021-03-27 22:56:52,50.7214,136.6319,30.07,91,91,1.36,overcast clouds
197,Chuy,UY,2021-03-27 22:56:52,-33.6971,-53.4616,69.3,88,100,3.67,overcast clouds
198,Leh,IN,2021-03-27 22:56:53,34.1667,77.5833,36.16,54,84,5.53,broken clouds
199,Paragominas,BR,2021-03-27 22:56:53,-2.9667,-47.4833,72.14,93,94,3.42,heavy intensity rain
200,Salta,AR,2021-03-27 22:56:54,-24.7859,-65.4117,55.4,100,90,5.75,light intensity drizzle
201,Davila,PH,2021-03-27 22:56:54,18.4726,120.5763,75.2,94,20,2.3,haze
202,Kroonstad,ZA,2021-03-27 22:56:54,-27.6504,27.2349,59.5,59,60,7.99,broken clouds
203,Banjar,ID,2021-03-27 22:56:55,-8.19,114.9675,80.6,89,20,2.3,few clouds
204,Sterling,US,2021-03-27 22:53:06,39.0062,-77.4286,68.0,45,90,10.36,overcast clouds
205,Virginia Beach,US,2021-03-27 22:56:55,36.8529,-75.978,63.0,59,90,8.05,moderate rain
206,Lumeje,AO,2021-03-27 22:56:56,-11.55,20.7833,64.36,89,89,3.44,overcast clouds
